,age1,age2,best_of,draw_size,hand1,hand2,ht1,ht2,id1,id2,ioc1,ioc2,loser1,loser2,match_num,name1,rank1,rank2,round,win,year
21867,30.5051334702,33.1471594798,5,128,R,R,175,185,100113,100074,CZE,USA,,Arthur Ashe,69,Jan Kodes,25,2,2,1,1976
21869,21.4647501711,19.6851471595,5,128,R,R,173,178,100372,100461,USA,USA,,Billy Martin,71,Trey Waltke,117,64,2,1,1976
21875,21.3086926762,23.2005475702,5,128,R,R,185,183,100377,100309,GBR,MEX,,Raul Ramirez,77,Colin Dowdeswell,85,10,2,1,1976
21879,24.3997262149,20.8815879535,5,128,R,R,183,193,100273,100395,AUS,PAR,,Victor Pecci,81,Kim Warwick,68,55,2,1,1976
21883,25.535934291599997,24.0629705681,5,128,R,R,188,180,100229,100281,USA,IND,,Sashi Menon,85,Dick Stockton,26,100,2,1,1976
21887,25.514031485300002,29.2676249144,5,128,R,R,170,178,100233,100139,ARG,GBR,,Gerald Battrick,89,Ricardo Cano,49,94,2,1,1976
21891,32.525667351100005,23.5044490075,5,128,R,R,178,178,100084,100300,NED,ESP,,Jose Higueras,93,Tom Okker,11,41,2,1,1976
21893,22.0150581793,20.2409308693,5,128,R,L,178,180,100343,100436,GBR,USA,,Nick Saviano,95,John Lloyd,87,159,2,1,1976
21894,20.2381930185,30.2477754962,5,128,R,R,180,180,100437,100115,SWE,CHI,,Jaime Fillol,96,Bjorn Borg,4,15,2,1,1976
21895,23.9972621492,26.1136208077,5,128,L,R,178,183,100284,100215,USA,USA,,Fred Mcnair,97,Jimmy Connors,1,122,3,1,1976
21897,30.5051334702,29.6700889802,5,128,R,R,175,175,100113,100128,CZE,USA,,Cliff Richey,99,Jan Kodes,25,38,3,1,1976
21898,34.2861054073,21.4647501711,5,128,R,R,183,173,100067,100372,RSA,USA,,Trey Waltke,100,Frew Mcmillan,73,117,3,1,1976
21901,21.3086926762,29.010266940500003,5,128,R,R,185,180,100377,100144,GBR,USA,,Robert Lutz,103,Colin Dowdeswell,85,18,3,1,1976
